episode,total_reward,emergency_rejections,icu_utilisation
887,-123.0,5,0.94
888,-103.0,6,0.9
889,-82.0,7,0.86
890,-31.0,4,0.62
891,-105.0,5,0.62
892,-62.0,6,0.8
893,-151.0,7,0.82
894,-58.0,9,0.34
895,-159.0,9,0.88
896,-92.0,5,0.86
897,-81.0,4,0.66
898,-58.0,5,0.72
899,-117.0,8,0.28
900,-50.0,6,0.72
901,-88.0,5,0.66
902,-76.0,4,0.88
903,-125.0,5,0.64
904,-97.0,3,0.58
905,-58.0,8,0.8
906,-78.0,9,0.24
907,-73.0,4,0.66
908,-89.0,6,0.84
909,-91.0,4,0.58
910,-36.0,2,0.5
911,-101.0,5,0.46
912,-73.0,8,0.4
913,-73.0,3,0.54
914,-35.0,4,0.42
915,-49.0,3,0.72
916,-195.0,7,0.78
917,0.0,3,0.6
918,-85.0,5,0.68
919,-69.0,3,0.78
920,4.0,1,0.44
921,-24.0,5,0.98
922,-112.0,7,0.58
923,-56.0,4,0.44
924,-35.0,3,0.74
925,-73.0,5,0.48
926,-125.0,5,0.62
927,-134.0,4,1.0
928,-56.0,4,0.7
929,-40.0,6,0.6
930,-90.0,5,0.3
931,-159.0,7,0.88
932,-153.0,5,0.96
933,-49.0,6,0.62
934,-154.0,6,0.7
935,-112.0,7,0.48
936,-97.0,7,0.42
937,-60.0,5,0.72
938,-100.0,7,0.92
939,-83.0,4,0.84
940,-121.0,4,0.6
941,-30.0,2,0.76
942,-61.0,7,0.94
943,-92.0,7,0.54
944,-116.0,5,0.7
945,-92.0,8,0.6
946,-121.0,9,0.52
947,-47.0,2,0.44
948,-91.0,5,0.74
949,-76.0,4,0.84
950,-62.0,2,0.72
951,-90.0,4,0.6
952,-48.0,4,0.52
953,-78.0,4,0.96
954,-84.0,4,0.5
955,-47.0,2,0.5
956,-169.0,8,0.6
957,2.0,3,0.58
958,-87.0,2,0.64
959,-116.0,5,0.34
960,-112.0,3,1.0
961,-122.0,5,0.64
962,-59.0,0,0.88
963,-69.0,3,0.68
964,-136.0,4,0.88
965,-85.0,5,0.7
966,-116.0,5,0.5
967,-94.0,4,0.52
968,-25.0,1,0.58
969,-25.0,5,0.64
970,-151.0,6,0.62
971,-76.0,5,0.56
972,-85.0,2,0.62
973,-51.0,2,0.32
974,-84.0,3,0.86
975,-105.0,5,0.68
976,-100.0,8,0.56
977,-140.0,8,0.62
978,-67.0,5,0.58
979,-34.0,5,0.56
980,-108.0,6,0.46
981,-133.0,3,0.66
982,-85.0,7,0.72
983,-6.0,4,0.76
984,-49.0,2,0.74
985,-72.0,6,0.92
986,-89.0,8,0.56
987,-81.0,3,0.6
988,-137.0,5,0.82
989,-19.0,4,0.84
990,-22.0,3,0.58
991,-24.0,0,0.52
992,-71.0,4,0.86
993,-98.0,4,0.62
994,-95.0,3,0.58
995,-100.0,4,0.8
996,-58.0,5,0.84
997,-62.0,4,0.72
998,-173.0,8,0.8
999,-128.0,8,0.94
1000,-103.0,7,0.74
1001,-81.0,6,0.66
1002,-72.0,3,0.7
1003,-133.0,8,0.7
1004,-86.0,4,0.38
1005,-120.0,8,0.54
1006,-80.0,8,0.8
1007,-77.0,5,0.54
1008,-97.0,5,0.86
1009,-15.0,4,0.54
